transaction_type,transaction_amount,second_party,last_four_digits,transaction_timestamp,transaction_category
1,1275.67,ixigo,5801.0,2022-07-31 12:47:02+05:30,E-commerce
1,333.0,MIR,5801.0,2022-07-30 20:00:00+05:30,Food-Joints
1,40.0,Bhola Kumar,5801.0,2022-07-30 10:26:32+05:30,Other
1,33.0,Rockey,5801.0,2022-07-30 10:16:48+05:30,Other
1,80.0,Sp Dutta,5801.0,2022-07-29 18:16:50+05:30,Other
1,10.0,Rockey,5801.0,2022-07-29 13:52:39+05:30,Other
1,2358.0,MediBuddy Infiniti,5801.0,2022-07-29 13:25:55+05:30,Other
1,35.0,,5801.0,2022-07-28 21:09:51+05:30,
1,50.0,,5801.0,2022-07-28 20:51:09+05:30,
1,25.0,,5801.0,2022-07-28 20:47:36+05:30,
1,290.0,,5801.0,2022-07-28 13:45:01+05:30,
1,33.0,Rockey,5801.0,2022-07-28 12:45:55+05:30,Other
1,35.0,,5801.0,2022-07-27 21:54:28+05:30,
1,1209.0,MediBuddy Infiniti,5801.0,2022-07-27 13:04:25+05:30,Other
1,408.0,Razorpay,5801.0,2022-07-27 12:59:22+05:30,Bill
1,408.0,MediBuddy Infiniti,5801.0,2022-07-27 00:03:35+05:30,Other
2,500.0,,5801.0,2022-07-26 14:07:36+05:30,
1,575.67,,5801.0,2022-07-26 13:26:44+05:30,
1,6970.0,Amazon Pay,5801.0,2022-07-25 17:44:32+05:30,E-commerce
1,2912.0,1794 Ls Quest Mall Kolkata,5801.0,2022-07-24 19:22:48+05:30,Other
0,680.0,,,2022-07-20 13:37:14+05:30,
1,1021.51,Ixigo,5801.0,2022-07-20 12:13:23+05:30,E-commerce
2,395.0,,5801.0,2022-07-17 10:00:29+05:30,
2,586.0,,5801.0,2022-07-16 23:37:20+05:30,
2,740.0,,5801.0,2022-07-16 23:35:55+05:30,
2,740.0,,5801.0,2022-07-16 23:35:44+05:30,
1,1727.0,Ktc Events And Hospi,5801.0,2022-07-16 23:14:45+05:30,Other
1,50.0,,5801.0,2022-07-15 20:52:56+05:30,
1,234.0,Subway Central Plaza,5801.0,2022-07-13 21:23:11+05:30,Other
1,1423.0,MY TEA CHAPEL PRIVATE LIMITED,5801.0,2022-07-12 21:14:10+05:30,Other
1,185.0,Le Marche South Point Lmsp,5801.0,2022-07-12 20:54:24+05:30,Other
1,81.0,24seven C029,5801.0,2022-07-11 21:52:45+05:30,Other
1,66.0,APOLLO PHARMACY,5801.0,2022-07-11 21:47:30+05:30,Other
1,472.0,R S VENTURES,5801.0,2022-07-11 19:39:21+05:30,Other
0,1000.0,,,2022-07-11 10:44:58+05:30,
1,1523.0,MATCHLESS RESTAURANT PRIV,5801.0,2022-07-10 14:51:05+05:30,Other
0,1000.0,,,2022-07-10 14:02:26+05:30,
1,551.0,Laroca Worldmark 1,5801.0,2022-07-10 13:35:06+05:30,Other
1,431.0,DELICIOUS DESSERTS,5801.0,2022-07-08 23:26:13+05:30,Other
1,390.0,PVR Cinemas,5801.0,2022-07-06 20:50:25+05:30,Other
1,200.0,PVR Cinemas,5801.0,2022-07-06 20:47:33+05:30,Other
1,374.5,Zomato,5801.0,2022-07-05 21:18:42+05:30,Food
1,290.0,Subway Central Plaza,5801.0,2022-07-03 21:20:28+05:30,Other
1,105.0,Bbinstant,5801.0,2022-07-02 15:00:22+05:30,E-commerce
2,2238.0,,5801.0,2022-06-30 09:26:55+05:30,
1,2305.97,ixigo,5801.0,2022-06-29 22:18:38+05:30,E-commerce
2,145.0,,5801.0,2022-06-29 21:53:47+05:30,
2,80.0,,5801.0,2022-06-27 22:18:08+05:30,
1,156.0,,5801.0,2022-06-27 01:06:53+05:30,
1,190.0,Subway Central Plaza,5801.0,2022-06-26 22:15:16+05:30,Other
1,470.0,BLOOMBAY ENTERPRISES,5801.0,2022-06-26 21:43:30+05:30,Other
1,130.0,Bbinstant,5801.0,2022-06-25 13:37:11+05:30,E-commerce
1,310.0,Subway Central Plaza,5801.0,2022-06-19 22:16:08+05:30,Other
1,95.0,,5801.0,2022-06-18 23:21:08+05:30,
1,1500.0,Guru Dronacharya Shooting Range,5801.0,2022-06-18 20:04:50+05:30,Other
1,70.0,Bbinstant,5801.0,2022-06-18 13:10:18+05:30,E-commerce
1,80.0,Bbinstant,5801.0,2022-06-11 13:52:06+05:30,E-commerce
1,50.0,Bbinstant,5801.0,2022-06-08 19:24:20+05:30,E-commerce
1,520.0,Wikimedia,5801.0,2022-06-08 14:11:49+05:30,Other
1,157.5,DOTPE PVT LTD,5801.0,2022-06-07 13:44:31+05:30,Other
1,75.0,Ranjit Paan Shop,5801.0,2022-06-04 19:59:42+05:30,Other
2,1612.0,,5801.0,2022-06-03 17:52:57+05:30,
2,275.0,,5801.0,2022-05-19 14:11:49+05:30,
0,3.0,,,2022-05-15 09:07:48+05:30,
1,719.0,Vi Prepaid,5801.0,2022-05-15 09:07:21+05:30,Bill
1,2000.0,,5801.0,2022-05-11 19:52:51+05:30,
1,2000.0,,,2022-05-11 19:52:39+05:30,
2,1000.0,,5801.0,2022-05-11 19:21:19+05:30,
1,3000.0,,5801.0,2022-05-11 18:53:05+05:30,
1,7000.0,,5801.0,2022-05-11 18:41:56+05:30,
0,125.0,,,2022-05-11 16:25:25+05:30,
0,125.0,,,2022-05-11 16:25:15+05:30,
1,100000.0,Kotak Securities Limited,5801.0,2022-05-06 11:38:09+05:30,Other
1,666.0,Vi Prepaid,5801.0,2022-05-05 11:53:26+05:30,Bill
0,4.0,,,2022-05-04 03:43:59+05:30,
1,150.0,,5801.0,2022-05-03 19:58:06+05:30,
1,10.0,,5801.0,2022-05-03 19:55:01+05:30,
1,10.0,,5801.0,2022-05-03 19:54:29+05:30,
